ID,State,StateID,StateText,TimeIn,TimeUserAck,TimePLCAck,MessageID,MessageText,Occur,GroupID,GroupText,Priority,Parameter1,Parameter2,Group,Class,HistoricalID,HasNotes,SortBuffer,TimeInUTC
75,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,1297,0,,13/09/2021
93,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4200,Leaflet stack low,1,$4192,Leaflet unit,640,CP:.VC_MX_025_MS_MinProspekt,20002505,32,4,1298,0,,13/09/2021
58,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1299,0,,13/09/2021
75,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,1300,0,,13/09/2021
71,4,$356,,13/09/2021,30/12/1899,30/12/1899,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,1301,0,,13/09/2021
71,0,$358,,13/09/2021,30/12/1899,13/09/2021,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,1302,0,,13/09/2021
95,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4202,"Serial fault leaflet not drawn, leaflet unit",1,$4192,Leaflet unit,640,CP:.VC_MX_025_MS_SfProKontrFalz,20002507,32,4,1303,0,,13/09/2021
58,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1304,0,,13/09/2021
93,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4200,Leaflet stack low,1,$4192,Leaflet unit,640,CP:.VC_MX_025_MS_MinProspekt,20002505,32,4,1305,0,,13/09/2021
98,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4205,Protective cover 8 open,1,$4192,Leaflet unit,650,CP:.VC_MX_025_MS_SH2,20002510,32,4,1306,0,,13/09/2021
98,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4205,Protective cover 8 open,1,$4192,Leaflet unit,650,CP:.VC_MX_025_MS_SH2,20002510,32,4,1307,0,,13/09/2021
98,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4205,Protective cover 8 open,1,$4192,Leaflet unit,650,CP:.VC_MX_025_MS_SH2,20002510,32,4,1308,0,,13/09/2021
98,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4205,Protective cover 8 open,1,$4192,Leaflet unit,650,CP:.VC_MX_025_MS_SH2,20002510,32,4,1309,0,,13/09/2021
75,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,1310,0,,13/09/2021
93,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4200,Leaflet stack low,1,$4192,Leaflet unit,640,CP:.VC_MX_025_MS_MinProspekt,20002505,32,4,1311,0,,13/09/2021
95,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4202,"Serial fault leaflet not drawn, leaflet unit",1,$4192,Leaflet unit,640,CP:.VC_MX_025_MS_SfProKontrFalz,20002507,32,4,1312,0,,13/09/2021
75,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,1313,0,,13/09/2021
57,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4156,Ready for combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiReady,20000617,24,6,1314,0,,13/09/2021
57,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4156,Ready for combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiReady,20000617,24,6,1315,0,,13/09/2021
58,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1316,0,,13/09/2021
71,4,$356,,13/09/2021,30/12/1899,30/12/1899,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,1317,0,,13/09/2021
71,0,$358,,13/09/2021,30/12/1899,13/09/2021,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,1318,0,,13/09/2021
78,4,$356,,13/09/2021,30/12/1899,30/12/1899,$4179,Prewarning carton supply low,1,$4176,Carton infeed,440,CP:.VC_MX_010_MW_FsVorMin,20001002,26,5,1319,0,,13/09/2021
78,0,$358,,13/09/2021,30/12/1899,13/09/2021,$4179,Prewarning carton supply low,1,$4176,Carton infeed,440,CP:.VC_MX_010_MW_FsVorMin,20001002,26,5,1320,0,,13/09/2021
79,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4181,Serial fault carton sensor,1,$4180,Carton sensing,640,CP:.VC_MX_012_MS_FsAbzug,20001200,27,4,1321,0,,13/09/2021
58,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1322,0,,13/09/2021
149,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4264,Protective cover flap transfer is open,1,$4258,Flap transfer,650,CP:.VC_MX_500_MS_SHKlappe,20050005,40,4,1323,0,,13/09/2021
79,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4181,Serial fault carton sensor,1,$4180,Carton sensing,640,CP:.VC_MX_012_MS_FsAbzug,20001200,27,4,1324,0,,13/09/2021
